               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.023425,            0.010793,                   0,             0.90053,             0.83416,             0.88543,             0.50328,            0.036332,           0.0078978,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.022583,            0.010539,                   0,             0.90165,             0.86954,             0.91994,             0.56183,            0.033609,           0.0070655,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.023193,            0.010531,                   0,             0.89894,             0.85637,             0.89991,              0.5331,            0.035041,           0.0069583,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.023046,            0.010989,                   0,             0.89752,             0.86179,             0.90166,             0.54386,            0.035568,            0.007157,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.023342,            0.010574,                   0,             0.88682,             0.81843,             0.87129,             0.52473,            0.036093,           0.0079239,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.023213,            0.010508,                   0,             0.87297,             0.87532,             0.89375,              0.5255,            0.034983,           0.0073607,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.022404,            0.010147,                   0,             0.87763,             0.83469,             0.88236,             0.52206,            0.035237,           0.0077135,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.022483,             0.01057,                   0,              0.8958,             0.86179,             0.90785,             0.54089,            0.035268,           0.0072476,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.022791,            0.010392,                   0,             0.88251,             0.86721,             0.91878,             0.53486,            0.034042,           0.0072475,                   0,            0.008218,            0.008218,            0.008218
                  92,             0.02252,            0.010419,                   0,             0.88163,             0.84011,             0.89656,             0.53808,            0.035556,           0.0073339,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.022835,           0.0098862,                   0,             0.87059,             0.83866,             0.87833,             0.51149,            0.037465,           0.0078168,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.021835,            0.010185,                   0,             0.85278,             0.83198,              0.8615,             0.48393,            0.038776,           0.0081268,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.022599,            0.010377,                   0,             0.91777,             0.86721,             0.91116,             0.53051,             0.03607,            0.007022,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.022949,             0.01031,                   0,             0.89129,             0.86721,             0.91044,              0.5364,            0.034872,           0.0073906,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.022787,            0.010258,                   0,             0.87842,             0.82238,              0.8806,              0.5099,            0.038179,           0.0079501,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.022085,            0.010257,                   0,             0.90286,             0.88889,             0.92693,             0.52123,            0.034928,           0.0070783,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.022291,             0.01017,                   0,             0.89629,             0.86179,             0.91747,             0.53486,            0.034727,           0.0073337,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.02172,            0.010065,                   0,             0.90095,             0.83815,             0.90674,             0.56128,            0.034842,           0.0073763,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.022117,            0.010205,                   0,             0.88253,             0.85509,             0.88667,             0.53257,            0.036057,           0.0076848,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.022224,            0.010402,                   0,             0.94275,             0.84824,             0.91778,             0.54171,            0.034862,           0.0072713,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.021394,            0.010101,                   0,             0.87782,             0.86179,             0.89537,             0.52667,            0.036359,           0.0078471,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.021404,            0.010394,                   0,               0.916,             0.85095,              0.9149,             0.54904,            0.034029,           0.0070419,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02221,            0.010381,                   0,             0.91139,             0.83618,             0.91001,             0.54675,            0.034268,           0.0075919,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.021965,           0.0099737,                   0,             0.89017,             0.85663,              0.8911,              0.5242,            0.035558,           0.0077102,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.022022,            0.010144,                   0,             0.86368,             0.80699,             0.86727,             0.50196,            0.036395,           0.0080537,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.021471,            0.010266,                   0,             0.91868,             0.84824,             0.90703,             0.55085,            0.034488,           0.0075326,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.022125,           0.0099951,                   0,              0.8683,             0.83979,             0.89081,             0.51503,            0.036202,           0.0087237,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.021963,            0.009907,                   0,             0.87304,             0.85095,             0.89808,             0.52077,            0.035596,           0.0079421,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.021575,             0.01002,                   0,             0.86938,              0.8645,             0.91023,             0.53744,            0.035819,           0.0079002,                   0,            0.007822,            0.007822,            0.007822
                 112,             0.02147,           0.0099382,                   0,             0.89328,             0.79675,             0.88164,             0.49894,            0.038616,           0.0085622,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.021368,           0.0099393,                   0,              0.9123,             0.85908,             0.91615,             0.53778,            0.035145,            0.007388,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.021232,           0.0098086,                   0,             0.90921,             0.85366,              0.9142,              0.5521,            0.034447,           0.0071979,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.021728,             0.01028,                   0,              0.9296,             0.85889,             0.90084,             0.53307,            0.035592,            0.007669,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.021545,           0.0099143,                   0,             0.87708,             0.81213,             0.88755,             0.50824,            0.036102,           0.0084459,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.021365,             0.00969,                   0,             0.87285,             0.81853,             0.87664,             0.50193,            0.037249,           0.0082328,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.021655,            0.010049,                   0,             0.88691,             0.78636,             0.85767,             0.49658,            0.037552,           0.0082625,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,             0.02106,            0.010007,                   0,             0.93051,             0.83458,             0.91414,             0.54684,            0.034445,           0.0074369,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.021332,            0.010172,                   0,             0.90593,              0.8613,             0.90166,             0.55458,            0.035077,           0.0072921,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.021376,            0.010069,                   0,             0.90819,              0.8645,              0.9149,             0.53841,            0.035621,            0.007457,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.020909,            0.010298,                   0,             0.92733,             0.86179,             0.91598,             0.54077,            0.035284,           0.0070141,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.021631,           0.0097842,                   0,             0.88771,             0.84553,             0.89175,             0.52085,            0.036197,           0.0080605,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.021507,           0.0098721,                   0,             0.92583,             0.84575,             0.89668,              0.5143,            0.036544,           0.0074394,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.020355,            0.009554,                   0,             0.91145,             0.85095,             0.90425,             0.54487,             0.03687,           0.0072111,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.020826,           0.0096432,                   0,             0.88163,             0.81301,             0.86621,             0.52243,            0.037759,           0.0085653,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.020497,           0.0094458,                   0,             0.85135,             0.80708,             0.84855,             0.49174,            0.038106,           0.0082336,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,             0.02128,           0.0098199,                   0,             0.88858,             0.84824,             0.89668,             0.54246,            0.035433,           0.0078446,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.021129,           0.0096448,                   0,             0.90509,             0.84282,             0.89789,             0.54113,             0.03556,           0.0073267,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.020693,           0.0096269,                   0,             0.92649,             0.85389,             0.91196,             0.52535,            0.035588,           0.0076008,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,             0.02118,            0.009624,                   0,             0.92501,             0.82114,             0.91031,             0.53583,            0.035952,           0.0076096,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.020683,           0.0091893,                   0,             0.92101,             0.80217,             0.88792,             0.52409,              0.0372,           0.0078848,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.020692,           0.0099112,                   0,             0.89668,             0.84666,             0.89731,              0.5381,            0.036187,            0.007681,                   0,           0.0073864,           0.0073864,           0.0073864
